scenario_id,feeder,solver,termination_condition,objective_value,violating_buses_before,violating_buses_after,total_violation_before_pu,total_violation_after_pu,min_voltage_before_pu,min_voltage_after_pu,max_abs_q_control_pu,total_abs_q_control_pu
62,radial_9_unseen,appsi_highs,optimal,421.8798822864124,8,8,0.8622068448876259,0.41760684488762634,0.793369544156638,0.879409544156638,0.18,0.36
63,radial_9_unseen,appsi_highs,optimal,372.27188702754495,8,8,0.8128417509300726,0.3682417509300726,0.8070912026762458,0.8916912026762458,0.18,0.36
64,radial_9_unseen,appsi_highs,optimal,619.2308312868172,8,8,1.058574699985392,0.6139746999853922,0.7615415165632131,0.8475815165632131,0.18,0.36
65,radial_9_unseen,appsi_highs,optimal,802.9724104284763,8,8,1.241400057333097,0.7968000573330963,0.7345595975164568,0.820599597516457,0.18,0.36
66,radial_9_unseen,appsi_highs,optimal,329.8042244402924,8,8,0.770586957271931,0.32598695727193194,0.8111201110550152,0.8971601110550151,0.18,0.36
67,radial_9_unseen,appsi_highs,optimal,772.444850324683,8,8,1.211023631503784,0.7664236315037839,0.7445989313818112,0.8294019594363068,0.18,0.36
68,radial_9_unseen,appsi_highs,optimal,695.007607601947,8,8,1.1339727671217752,0.6893727671217748,0.754572835072347,0.8405448520473772,0.18,0.36
69,radial_9_unseen,appsi_highs,optimal,478.88623211209375,8,8,0.918927687094476,0.47432768709447537,0.7896535407767604,0.8756935407767605,0.18,0.36
70,radial_9_unseen,appsi_highs,optimal,400.3722878425306,8,8,0.8408044284787332,0.39620442847873316,0.7978455004122034,0.8838855004122034,0.18,0.36
71,radial_9_unseen,appsi_highs,optimal,179.51148178790763,8,7,0.6151350956856807,0.17647259524161896,0.834741569653749,0.9200996285652482,0.18,0.36
72,radial_9_unseen,appsi_highs,optimal,22.90979468044381,8,4,0.44699149075734135,0.02071365853381013,0.8640070679030777,0.9386617196298146,0.18,0.36
73,radial_9_unseen,appsi_highs,optimal,267.28484087751326,8,8,0.7083801694730951,0.26378016947309535,0.8210341540763292,0.9056341540763291,0.18,0.36
74,radial_9_unseen,appsi_highs,optimal,396.06491274212317,8,8,0.836517123167447,0.391917123167447,0.8021646756487714,0.8867646756487714,0.18,0.36
75,radial_9_unseen,appsi_highs,optimal,424.8750716587896,8,8,0.8651863784718389,0.4205863784718398,0.7970981697015797,0.8816981697015795,0.18,0.36
76,radial_9_unseen,appsi_highs,optimal,749.4840334592083,8,8,1.1881798848707326,0.7435798848707327,0.7439836764971586,0.8285836764971586,0.18,0.36
77,radial_9_unseen,appsi_highs,optimal,328.4327435762164,8,8,0.7692240334783712,0.3246240334783713,0.8078258060475867,0.8938658060475866,0.18,0.36
78,radial_9_unseen,appsi_highs,optimal,543.7283091576804,8,8,0.9834454968803719,0.5388454968803719,0.7784494698367984,0.8630494698367984,0.18,0.36
79,radial_9_unseen,appsi_highs,optimal,17.526416250061796,8,4,0.43901165365448314,0.015369965674041253,0.8653098563323746,0.9412081751060922,0.18,0.36
80,radial_9_unseen,appsi_highs,optimal,364.67514286779084,8,8,0.8052869811146307,0.36068698111462927,0.8059339061179579,0.8919739061179581,0.18,0.36
81,radial_9_unseen,appsi_highs,optimal,656.2784055294462,8,8,1.0954361432328408,0.6508361432328411,0.7576762222386622,0.8422762222386622,0.18,0.36
82,radial_9_unseen,appsi_highs,optimal,421.537370810026,8,8,0.8618666885301184,0.4172666885301186,0.7979781287050046,0.8825781287050045,0.18,0.36
83,radial_9_unseen,appsi_highs,optimal,122.97724855719626,8,7,0.5554876873455508,0.12023778091949988,0.8473944564016669,0.9270003873383642,0.18,0.36
84,radial_9_unseen,appsi_highs,optimal,711.4040018219072,8,8,1.150286641345844,0.7056866413458435,0.7493472823359926,0.8353872823359927,0.18,0.36
85,radial_9_unseen,appsi_highs,optimal,783.7049434863475,8,8,1.222226247774103,0.7776262477741029,0.7392786823539493,0.8253186823539493,0.18,0.36
86,radial_9_unseen,appsi_highs,optimal,747.319427226964,8,8,1.1860224295986268,0.7414224295986269,0.7442717479274288,0.8303117479274288,0.18,0.36
87,radial_9_unseen,appsi_highs,optimal,160.14344927053008,8,7,0.5944581441834285,0.15720842852158645,0.8391009741688437,0.9232891250216374,0.18,0.36
88,radial_9_unseen,appsi_highs,optimal,227.9106840779329,8,7,0.6681259707831163,0.22460866321875694,0.8262805911003765,0.9122181219192229,0.18,0.36
89,radial_9_unseen,appsi_highs,optimal,889.891740874078,8,8,1.3278863454344947,0.8832863454344946,0.7224693660158399,0.8070693660158399,0.18,0.36
90,radial_9_unseen,appsi_highs,optimal,588.7573880173395,8,8,1.028251355615402,0.5836513556154014,0.7684498308935044,0.8530498308935045,0.18,0.36
91,radial_9_unseen,appsi_highs,optimal,649.0575996993196,8,8,1.0882525814341997,0.6436525814341997,0.756905209627354,0.841505209627354,0.18,0.36
92,radial_9_unseen,appsi_highs,optimal,339.23070104329423,8,8,0.7799683491165516,0.3353683491165518,0.8099959318764599,0.8945959318764598,0.18,0.36
