scenario_id,bus,vm_before_pu,vm_after_pu,q_control_pu,violation_before_pu,violation_after_pu,is_violation_before,is_violation_after,feeder
30,10,0.8110109539527459,0.8772509539527461,0.0,0.13898904604725404,0.07274904604725385,1,1,radial_15
30,11,0.7807292682400225,0.8613692682400228,0.0,0.16927073175997742,0.08863073175997715,1,1,radial_15
30,12,0.7664392927591362,0.8600392927591365,0.18,0.1835607072408637,0.08996070724086347,1,1,radial_15
30,13,0.7583985808351353,0.8681985808351353,0.0,0.19160141916486462,0.08180141916486461,1,1,radial_15
30,14,0.7448416312691266,0.8686816312691267,0.18,0.20515836873087334,0.08131836873087328,1,1,radial_15
31,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
31,1,0.9116954255923996,0.9548954255923996,0.0,0.03830457440760038,0.0,1,0,radial_15
31,2,0.8486558493606609,0.9285758493606608,0.0,0.1013441506393391,0.021424150639339112,1,1,radial_15
31,3,0.8278683352757574,0.9265083352757574,0.0,0.12213166472424253,0.023491664724242578,1,1,radial_15
31,4,0.8171932224341165,0.9302332224341164,0.18,0.13280677756588344,0.01976677756588352,1,1,radial_15
31,5,0.8235314167874904,0.9142514167874904,0.0,0.12646858321250953,0.03574858321250951,1,1,radial_15
31,6,0.8022162625599077,0.9044562625599077,0.0,0.1477837374400922,0.045543737440092213,1,1,radial_15
31,7,0.7842085001483924,0.9001285001483923,0.0,0.16579149985160757,0.04987149985160766,1,1,radial_15
31,8,0.7758367680020812,0.9047167680020811,0.18,0.17416323199791872,0.04528323199791884,1,1,radial_15
31,9,0.875609185882634,0.9317691858826341,0.0,0.07439081411736592,0.018230814117365823,1,1,radial_15
31,10,0.852138617929372,0.918378617929372,0.0,0.097861382070628,0.031621382070627924,1,1,radial_15
31,11,0.8265834796435183,0.9072234796435185,0.0,0.12341652035648165,0.042776520356481496,1,1,radial_15
31,12,0.8150464780506848,0.9086464780506849,0.18,0.1349535219493152,0.041353521949315075,1,1,radial_15
31,13,0.8149914066462322,0.9247914066462322,0.0,0.1350085933537678,0.025208593353767794,1,1,radial_15
31,14,0.804084009680888,0.927924009680888,0.18,0.14591599031911195,0.022075990319112004,1,1,radial_15
32,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
32,1,0.88067639225229,0.9238763922522899,0.0,0.06932360774770996,0.026123607747710054,1,1,radial_15
32,2,0.7928124272163203,0.8727324272163202,0.0,0.15718757278367967,0.0772675727836798,1,1,radial_15
32,3,0.7634928414131554,0.8621328414131553,0.0,0.18650715858684452,0.08786715858684468,1,1,radial_15
32,4,0.7473955954713037,0.8604355954713035,0.18,0.2026044045286962,0.0895644045286964,1,1,radial_15
32,5,0.7577085742083368,0.8484285742083366,0.0,0.19229142579166314,0.10157142579166334,1,1,radial_15
32,6,0.7269997777353276,0.8292397777353274,0.0,0.2230002222646723,0.12076022226467253,1,1,radial_15
32,7,0.6984125044807165,0.8143325044807163,0.0,0.2515874955192835,0.1356674955192837,1,1,radial_15
32,8,0.6845276581567691,0.813407658156769,0.18,0.2654723418432309,0.136592341843231,1,1,radial_15
32,9,0.8350295717131446,0.8911895717131445,0.0,0.11497042828685533,0.058810428286855454,1,1,radial_15
32,10,0.8063676369972521,0.872607636997252,0.0,0.14363236300274784,0.07739236300274799,1,1,radial_15
32,11,0.7752542342936439,0.8558942342936438,0.0,0.17474576570635603,0.0941057657063562,1,1,radial_15
32,12,0.7610043764061569,0.8546043764061567,0.18,0.18899562359384303,0.09539562359384324,1,1,radial_15
32,13,0.7467483216503816,0.8565483216503814,0.0,0.20325167834961833,0.09345167834961854,1,1,radial_15
32,14,0.7335958581453216,0.8574358581453213,0.18,0.21640414185467838,0.09256414185467865,1,1,radial_15
33,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
33,1,0.8944042887280353,0.9376042887280354,0.0,0.05559571127196461,0.012395711271964593,1,1,radial_15
33,2,0.8178928696850662,0.8978128696850662,0.0,0.1321071303149337,0.052187130314933716,1,1,radial_15
33,3,0.7929330380875895,0.8915730380875895,0.0,0.15706696191241043,0.05842696191241048,1,1,radial_15
33,4,0.7796031579394768,0.8926431579394767,0.18,0.1703968420605232,0.05735684206052327,1,1,radial_15
33,5,0.7881562406837327,0.8788762406837327,0.0,0.16184375931626727,0.07112375931626724,1,1,radial_15
33,6,0.7620646874386854,0.8643046874386854,0.0,0.18793531256131457,0.08569531256131457,1,1,radial_15
33,7,0.7395345554267918,0.8554545554267917,0.0,0.21046544457320815,0.09454544457320824,1,1,radial_15
33,8,0.7276350695567011,0.856515069556701,0.18,0.22236493044329886,0.09348493044329897,1,1,radial_15
33,9,0.8546003157908681,0.9107603157908681,0.0,0.09539968420913181,0.03923968420913182,1,1,radial_15
33,10,0.8299494962610857,0.8961894962610858,0.0,0.12005050373891424,0.05381050373891416,1,1,radial_15
33,11,0.8059640287877264,0.8866040287877265,0.0,0.14403597121227352,0.06339597121227347,1,1,radial_15
33,12,0.7936076020851325,0.8872076020851325,0.18,0.15639239791486748,0.06279239791486746,1,1,radial_15
33,13,0.7790854057282841,0.888885405728284,0.0,0.17091459427171585,0.06111459427171595,1,1,radial_15
33,14,0.7674561317882134,0.8912961317882132,0.18,0.1825438682117866,0.05870386821178675,1,1,radial_15
34,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
34,1,0.8726001436110042,0.9158001436110043,0.0,0.07739985638899571,0.0341998563889957,1,1,radial_15
34,2,0.7815530766067332,0.8614730766067332,0.0,0.16844692339326672,0.08852692339326673,1,1,radial_15
34,3,0.7522904605056655,0.8509304605056655,0.0,0.19770953949433445,0.0990695394943345,1,1,radial_15
34,4,0.7367107337253994,0.8497507337253993,0.18,0.21328926627460054,0.10024926627460062,1,1,radial_15
34,5,0.7441586101454873,0.8348786101454874,0.0,0.2058413898545126,0.11512138985451259,1,1,radial_15
34,6,0.7115643965246649,0.8138043965246649,0.0,0.2384356034753351,0.1361956034753351,1,1,radial_15
34,7,0.6826923396630479,0.7986123396630479,0.0,0.2673076603369521,0.15138766033695206,1,1,radial_15
34,8,0.6688045120227638,0.7976845120227638,0.18,0.28119548797723615,0.15231548797723615,1,1,radial_15
34,9,0.8212741671517871,0.8774341671517871,0.0,0.12872583284821282,0.07256583284821283,1,1,radial_15
34,10,0.789448040279251,0.8556880402792509,0.0,0.16055195972074898,0.09431195972074902,1,1,radial_15
34,11,0.7577046856865093,0.8383446856865092,0.0,0.19229531431349067,0.11165531431349074,1,1,radial_15
34,12,0.7424805307249035,0.8360805307249035,0.18,0.20751946927509646,0.11391946927509644,1,1,radial_15
34,13,0.7357819940629706,0.8455819940629705,0.0,0.21421800593702933,0.10441800593702943,1,1,radial_15
34,14,0.7222812047135264,0.8461212047135263,0.18,0.22771879528647354,0.1038787952864737,1,1,radial_15
35,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
35,1,0.8932020294730061,0.936402029473006,0.0,0.05679797052699387,0.013597970526993963,1,1,radial_15
35,2,0.816009788450401,0.8959297884504008,0.0,0.133990211549599,0.05407021154959912,1,1,radial_15
35,3,0.7900807807163818,0.8887207807163816,0.0,0.15991921928361819,0.06127921928361835,1,1,radial_15
35,4,0.775424804714433,0.8884648047144328,0.18,0.17457519528556698,0.06153519528556717,1,1,radial_15
35,5,0.7851615174800786,0.8758815174800784,0.0,0.1648384825199214,0.07411848251992159,1,1,radial_15
35,6,0.7580832329045745,0.8603232329045742,0.0,0.1919167670954255,0.08967676709542571,1,1,radial_15
35,7,0.7332327510338698,0.8491527510338696,0.0,0.2167672489661302,0.1008472489661304,1,1,radial_15
35,8,0.7213684409017899,0.8502484409017896,0.18,0.2286315590982101,0.09975155909821032,1,1,radial_15
35,9,0.8512423903576394,0.9074023903576393,0.0,0.09875760964236058,0.0425976096423607,1,1,radial_15
35,10,0.825158040165223,0.891398040165223,0.0,0.12484195983477697,0.05860195983477701,1,1,radial_15
35,11,0.7972326979404095,0.8778726979404096,0.0,0.15276730205959044,0.07212730205959039,1,1,radial_15
35,12,0.7839093110323803,0.8775093110323803,0.18,0.1660906889676197,0.07249068896761968,1,1,radial_15
35,13,0.7757163164211504,0.8855163164211501,0.0,0.1742836835788496,0.06448368357884982,1,1,radial_15
35,14,0.7634030934265661,0.8872430934265659,0.18,0.18659690657343386,0.06275690657343402,1,1,radial_15
36,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
36,1,0.8863782829438966,0.9295782829438965,0.0,0.06362171705610331,0.020421717056103406,1,1,radial_15
36,2,0.8067725698944374,0.8866925698944373,0.0,0.1432274301055626,0.06330743010556261,1,1,radial_15
36,3,0.778008868261635,0.8766488682616349,0.0,0.171991131738365,0.07335113173836505,1,1,radial_15
36,4,0.761268460828613,0.8743084608286129,0.18,0.18873153917138696,0.07569153917138705,1,1,radial_15
36,5,0.7772834542982798,0.8680034542982797,0.0,0.17271654570172013,0.08199654570172021,1,1,radial_15
36,6,0.7518900101779101,0.85413001017791,0.0,0.19810998982208983,0.09586998982208994,1,1,radial_15
36,7,0.7306051928654624,0.8465251928654622,0.0,0.21939480713453752,0.10347480713453772,1,1,radial_15
36,8,0.7197612164806512,0.8486412164806509,0.18,0.2302387835193488,0.10135878351934902,1,1,radial_15
